TIME,RPM,TPS,MAP,Sonda_Geral,2-step,Velocidade_de_tração
12.940,3507,0.0,0.00,0.440,OFF,0.0
12.980,3507,0.0,0.00,0.440,OFF,0.0
13.020,3507,0.0,0.00,0.440,OFF,0.0
13.060,3507,0.0,0.00,0.440,OFF,0.0
13.100,3507,0.0,0.00,0.440,OFF,0.0
13.140,3507,0.0,0.00,0.440,OFF,0.0
13.180,3507,0.0,0.00,0.440,OFF,0.0
13.220,3507,0.0,0.00,0.440,OFF,0.8
13.260,3507,0.0,0.00,0.440,OFF,6.8
13.300,3507,0.0,0.00,0.440,OFF,7.4
13.340,3507,0.0,0.00,0.440,OFF,19.3
13.380,3507,0.0,0.00,0.440,OFF,20.9
13.420,3507,0.0,0.00,0.440,OFF,21.6
13.460,3507,0.0,0.00,0.440,OFF,40.4
13.500,3507,0.0,0.00,0.440,OFF,43.0
13.540,3507,0.0,0.00,0.440,OFF,45.4
13.580,3507,0.0,0.00,0.440,OFF,62.4
13.620,3507,0.0,0.00,0.440,OFF,63.1
13.660,3507,0.0,0.00,0.440,OFF,64.9
13.700,3507,0.0,0.00,0.440,OFF,78.6
13.740,3507,0.0,0.00,0.440,OFF,79.7
13.780,3507,0.0,0.00,0.440,OFF,101.0
13.820,3507,0.0,0.00,0.440,OFF,103.9
13.860,3507,0.0,0.00,0.440,OFF,106.0
13.900,3507,0.0,0.00,0.440,OFF,120.5
13.940,3507,0.0,0.00,0.440,OFF,121.1
13.980,3507,0.0,0.00,0.440,OFF,122.6
14.020,3507,0.0,0.00,0.440,OFF,133.6
14.060,3507,0.0,0.00,0.440,OFF,134.4
14.100,3507,0.0,0.00,0.440,OFF,145.4
14.140,3507,0.0,0.00,0.440,OFF,147.0
14.180,3507,0.0,0.00,0.440,OFF,148.0
14.220,3507,0.0,0.00,0.440,OFF,154.8
14.260,3507,0.0,0.00,0.440,OFF,155.1
14.300,3507,0.0,0.00,0.440,OFF,156.2
14.340,3507,0.0,0.00,0.440,OFF,164.7
14.380,3507,0.0,0.00,0.440,OFF,165.1
14.420,3507,0.0,0.00,0.440,OFF,169.4
14.460,3507,0.0,0.00,0.440,OFF,170.0
14.500,3507,0.0,0.00,0.440,OFF,170.8
14.540,3507,0.0,0.00,0.440,OFF,176.8
14.580,3507,0.0,0.00,0.440,OFF,177.0
14.620,3507,0.0,0.00,0.440,OFF,177.4
14.660,3507,0.0,0.00,0.440,OFF,179.9
14.700,3507,0.0,0.00,0.440,OFF,180.1
14.740,3507,0.0,0.00,0.440,OFF,181.8
14.780,3507,0.0,0.00,0.440,OFF,182.0
14.820,3507,0.0,0.00,0.440,OFF,181.9
14.860,3507,0.0,0.00,0.440,OFF,179.4
14.900,3507,0.0,0.00,0.440,OFF,179.0
14.940,3507,0.0,0.00,0.440,OFF,178.9
14.980,3507,0.0,0.00,0.440,OFF,174.6
15.020,3507,0.0,0.00,0.440,OFF,174.0
15.060,3507,0.0,0.00,0.440,OFF,172.8
15.100,3507,0.0,0.00,0.440,OFF,164.3
15.140,3507,0.0,0.00,0.440,OFF,163.7
15.180,3507,0.0,0.00,0.440,OFF,155.2
15.220,3507,0.0,0.00,0.440,OFF,154.0
15.260,3507,0.0,0.00,0.440,OFF,153.6
15.300,3507,0.0,0.00,0.440,OFF,141.7
15.340,3507,0.0,0.00,0.440,OFF,140.0
15.380,3507,0.0,0.00,0.440,OFF,138.4
15.420,3507,0.0,0.00,0.440,OFF,127.4
15.460,3507,0.0,0.00,0.440,OFF,126.9
15.500,3507,0.0,0.00,0.440,OFF,125.4
15.540,3507,0.0,0.00,0.440,OFF,114.4
15.580,3507,0.0,0.00,0.440,OFF,113.6
15.620,3507,0.0,0.00,0.440,OFF,99.9
15.660,3507,0.0,0.00,0.440,OFF,98.1
15.700,3507,0.0,0.00,0.440,OFF,97.5
15.740,3507,0.0,0.00,0.440,OFF,83.0
15.780,3507,0.0,0.00,0.440,OFF,81.0
15.820,3507,0.0,0.00,0.440,OFF,79.8
15.860,3507,0.0,0.00,0.440,OFF,71.3
15.900,3507,0.0,0.00,0.440,OFF,71.0
15.940,3507,0.0,0.00,0.440,OFF,70.4
15.980,3507,0.0,0.00,0.440,OFF,66.1
16.020,3507,0.0,0.00,0.440,OFF,66.0
16.060,3507,0.0,0.00,0.440,OFF,65.6
16.100,3507,0.0,0.00,0.440,OFF,63.1
16.140,3507,0.0,0.00,0.440,OFF,62.9
16.180,3507,0.0,0.00,0.440,OFF,58.6
16.220,3507,0.0,0.00,0.440,OFF,58.0
16.260,3507,0.0,0.00,0.440,OFF,57.2
16.300,3507,0.0,0.00,0.440,OFF,51.2
16.340,3507,0.0,0.00,0.440,OFF,51.0
16.380,3507,0.0,0.00,0.440,OFF,51.0
16.420,3507,0.0,0.00,0.440,OFF,51.0
16.460,3507,0.0,0.00,0.440,OFF,51.0
16.500,3507,0.0,0.00,0.440,OFF,51.0
16.540,3507,0.0,0.00,0.440,OFF,51.0
16.580,3507,0.0,0.00,0.440,OFF,51.0
16.620,3507,0.0,0.00,0.440,OFF,51.0
16.660,3507,0.0,0.00,0.440,OFF,51.0
16.700,3507,0.0,0.00,0.440,OFF,51.0
16.740,3507,0.0,0.00,0.440,OFF,51.0
16.780,3507,0.0,0.00,0.440,OFF,51.0
16.820,3507,0.0,0.00,0.440,OFF,51.0
16.860,3507,0.0,0.00,0.440,OFF,51.0
16.900,3507,0.0,0.00,0.440,OFF,51.0
16.940,3507,0.0,0.00,0.440,OFF,51.0
16.980,3507,0.0,0.00,0.440,OFF,51.0
17.020,3507,0.0,0.00,0.440,OFF,51.0
17.060,3507,0.0,0.00,0.440,OFF,51.0
17.100,3507,0.0,0.00,0.440,OFF,51.0
17.140,3507,0.0,0.00,0.440,OFF,51.0
17.180,3507,0.0,0.00,0.440,OFF,51.0
17.220,3507,0.0,0.00,0.440,OFF,51.0
17.260,3507,0.0,0.00,0.440,OFF,51.0
17.300,3507,0.0,0.00,0.440,OFF,51.0
17.340,3507,0.0,0.00,0.440,OFF,51.0
17.380,3507,0.0,0.00,0.440,ON,51.0
17.420,3507,0.0,0.00,0.440,ON,51.0
17.460,3507,0.0,0.00,0.440,ON,51.0
17.500,3507,0.0,0.00,0.440,ON,51.0
17.540,3507,0.0,0.00,0.440,ON,51.0
17.580,3507,0.0,0.00,0.440,ON,51.0
17.620,3507,0.0,0.00,0.440,ON,51.0
17.660,3507,0.0,0.00,0.440,ON,51.0
17.700,3507,0.0,0.00,0.440,ON,51.0
17.740,3507,0.0,0.00,0.440,ON,51.0
17.780,3507,0.0,0.00,0.440,ON,51.0
17.820,3507,0.0,0.00,0.440,ON,51.0
17.860,3507,0.0,0.00,0.440,ON,51.0
17.900,3507,0.0,0.00,0.440,ON,51.0
17.940,3507,0.0,0.00,0.440,ON,51.0
17.980,3507,0.0,0.00,0.440,ON,51.0
18.020,3507,0.0,0.00,0.440,ON,51.0
18.060,3507,0.0,0.00,0.440,ON,51.0
18.100,3507,0.0,0.00,0.440,ON,51.0
18.140,3507,0.0,0.00,0.440,ON,51.0
18.180,3507,0.0,0.00,0.440,ON,51.0
18.220,3507,0.0,0.00,0.440,ON,51.0
18.260,3507,0.0,0.00,0.440,ON,51.0
18.300,3507,0.0,0.00,0.440,ON,51.0
18.340,3507,0.0,0.00,0.440,ON,51.0
18.380,3507,0.0,0.00,0.440,ON,51.0
18.420,3507,0.0,0.00,0.440,ON,51.0
18.460,3507,0.0,0.00,0.440,ON,51.0
18.500,3507,0.0,0.00,0.440,ON,51.0
18.540,3507,0.0,0.00,0.440,ON,51.0
18.580,3507,0.0,0.00,0.440,ON,51.0
18.620,3507,0.0,0.00,0.440,ON,51.0
18.660,3507,0.0,0.00,0.440,ON,51.0
18.700,3507,0.0,0.00,0.440,ON,51.0
18.740,3507,0.0,0.00,0.440,ON,51.0
