TIME,RPM,TPS,MAP,Sonda_Geral,2-step
10.340,3084,0.0,0.00,0.200,OFF
10.380,3082,0.0,0.00,0.200,OFF
10.420,3069,0.0,0.00,0.200,OFF
10.460,2970,0.0,0.00,0.200,OFF
10.500,2957,0.0,0.00,0.200,OFF
10.540,2662,0.0,0.00,0.200,OFF
10.580,2619,0.0,0.00,0.200,OFF
10.620,2519,0.0,0.00,0.200,OFF
10.660,2506,0.0,0.00,0.200,OFF
10.700,2505,0.0,0.00,0.200,OFF
10.740,2505,0.0,0.00,0.200,OFF
10.780,2505,0.0,0.00,0.200,OFF
10.820,2505,0.0,0.00,0.200,OFF
10.860,2505,0.0,0.00,0.200,OFF
10.900,2504,0.0,0.00,0.200,OFF
10.940,2491,0.0,0.00,0.200,OFF
10.980,2392,0.0,0.00,0.200,OFF
11.020,2389,0.0,0.00,0.200,OFF
11.060,2389,0.0,0.00,0.200,OFF
11.100,2389,0.0,0.00,0.200,OFF
11.140,2389,0.0,0.00,0.200,OFF
11.180,2389,0.0,0.00,0.200,OFF
11.220,2387,0.0,0.00,0.200,OFF
11.260,2361,0.0,0.00,0.200,OFF
11.300,2165,0.0,0.00,0.200,OFF
11.340,2156,0.0,0.00,0.200,OFF
11.380,2090,0.0,0.00,0.200,OFF
11.420,2081,0.0,0.00,0.200,OFF
11.460,2079,0.0,0.00,0.200,OFF
11.500,2013,0.0,0.00,0.200,OFF
11.540,2003,0.0,0.00,0.200,OFF
11.580,1976,0.0,0.00,0.200,OFF
11.620,1780,0.0,0.00,0.200,OFF
11.660,1773,0.0,0.00,0.200,OFF
11.700,1768,0.0,0.00,0.200,OFF
11.740,1735,0.0,0.00,0.200,OFF
11.780,1734,0.0,0.00,0.200,OFF
11.820,1734,0.0,0.00,0.200,OFF
11.860,1734,0.0,0.00,0.200,OFF
11.900,1734,0.0,0.00,0.200,OFF
11.940,1734,0.0,0.00,0.200,OFF
11.980,1734,0.0,0.00,0.200,OFF
12.020,1734,0.0,0.00,0.200,OFF
12.060,1734,0.0,0.00,0.200,OFF
12.100,1734,0.0,0.00,0.200,OFF
12.140,1734,0.0,0.00,0.200,OFF
12.180,1734,0.0,0.00,0.200,OFF
12.220,1734,0.0,0.00,0.200,OFF
12.260,1734,0.0,0.00,0.200,OFF
12.300,1734,0.0,0.00,0.200,OFF
12.340,1734,0.0,0.00,0.200,OFF
12.380,1734,0.0,0.00,0.200,OFF
12.420,1734,0.0,0.00,0.200,OFF
12.460,1734,0.0,0.00,0.200,OFF
12.500,1734,0.0,0.00,0.200,OFF
12.540,1734,0.0,0.00,0.200,OFF
12.580,1734,0.0,0.00,0.200,OFF
12.620,1734,0.0,0.00,0.200,OFF
12.660,1734,0.0,0.00,0.200,OFF
12.700,1734,0.0,0.00,0.200,OFF
12.740,1734,0.0,0.00,0.200,OFF
12.780,1734,0.0,0.00,0.200,OFF
12.820,1734,0.0,0.00,0.200,OFF
12.860,1734,0.0,0.00,0.200,OFF
